Group 2
Lat Lon Depth
-26.79 63.21 559.9
-28.18 63.22 554.9
-26.38 64.58 10.0
-28.91 64.59 65.0
-27.58 65.83 26.8
-28.09 66.52 188.0
-28.09 66.54 155.7
-28.76 66.86 7.4
-28.67 67.54 132.2
-28.56 68.12 117.7
-29.19 68.16 43.5
-29.32 68.48 46.2
-30.26 69.02 36.2
-30.23 69.27 89.0
-29.13 69.82 102.6
-28.13 70.40 78.4
-28.42 70.67 35.0
-28.23 70.70 57.4
-27.14 70.72 40.0
-27.90 70.72 67.0
-27.95 70.82 42.0
-28.50 70.86 51.8
-29.38 70.96 81.6
-29.39 71.03 62.0
-29.59 71.11 44.0
-27.14 71.23 22.8
-28.38 71.35 34.0
-29.98 71.38 39.4
-29.59 71.46 35.0
-29.87 71.53 50.0
-29.47 71.55 35.1
-30.06 71.58 30.2
-29.92 71.62 31.3
-29.93 71.92 31.7
-27.86 72.26 35.0
-26.80 72.54 16.0
-30.00 72.66 31.8
